Individual,Condition,Trial,EMG_thresh,I_flexion,I_extension,Ratio_I_ext_flex,t_on_flex,t_on_ext,Ratio_t_on_ext_flex
1,Pre-op,1,0.00791474679313216,0.0003172525108,0.0018843504632,5.93959196240347,0.438746438746439,0.769230769230769,1.75324675324675
1,Pre-op,2,0.00640018635172146,0.0001086841357,0.00094957113,8.73698009267051,0.198952879581152,0.829710144927536,4.17038520213577
1,Pre-op,3,0.00646507035663675,0.0001625960892,0.0014930627828,9.18264879645088,0.354838709677419,0.757180156657963,2.13387135058153
1,1wk Post-op,1,0.0116433280026809,0.00050008794,0.00042260751,0.845066389723375,0.467213114754098,0.669322709163347,1.43258544768295
1,1wk Post-op,2,0.011575923546574,0.00070065539,0.00046368226,0.661783619476616,0.531496062992126,0.654109589041096,1.23069507864028
1,1wk Post-op,3,0.0111738853840132,0.00185747023,0.00208087479,1.12027356153105,0.654618473895582,0.873287671232877,1.33404067568703
1,3mo Post-op,1,0.00503517522093966,0.007217927286,0.011910093671,1.65007116296405,0.411214953271028,0.990196078431373,2.40797682709447
1,3mo Post-op,2,0.00517167891812931,0.014595030086,0.00691287964,0.473646138395497,0.447698744769874,0.995762711864407,2.22418026294947
1,3mo Post-op,3,0.00523184536551412,0.01470612084,0.005034100139,0.342313258116816,0.429166666666667,0.984,2.29281553398058
1,6mo Post-op,1,0.00549928590010779,0.005262002633,0.005723080532,1.08762403426186,0.530405405405405,0.985795454545455,1.85856977417487
1,6mo Post-op,2,0.00553539612031328,0.006124180671,0.001775195316,0.289866581566761,0.755172413793103,0.807017543859649,1.06865336858127
1,6mo Post-op,3,0.00524044330493099,0.005269350326,0.00182764547,0.346844555197259,0.817567567567568,0.947658402203857,1.15911936798488
1,Post-mortem,1,0.00545171274110423,3.6820814e-05,7.466952e-06,0.202791605856405,0.132890365448505,0.0286396181384248,0.215513126491647
1,Post-mortem,2,0.00539699997603946,6.841066e-06,8.41467e-06,1.23002321568013,0.0297619047619048,0.0264765784114053,0.889613034623218
1,Post-mortem,3,0.00498384772206993,9.125549e-06,9.532453e-06,1.04458953647611,0.0415430267062315,0.0280373831775701,0.674899866488652
2,Pre-op,1,0.00770434983191963,0.0005959644228,0.0042920614771,7.20187533499861,0.335593220338983,0.971119133574007,2.89373883236699
2,Pre-op,2,0.00760952787864863,5.79259635e-05,0.0015129426403,26.1185580503982,0.177215189873418,0.8486646884273,4.78889359898262
2,Pre-op,3,0.0088603067533582,0.0004208498687,0.0007873347859,1.87082103252656,0.563291139240506,0.60586319218241,1.07557735241372
2,1wk Post-op,1,0.00989278785405132,0.000102982122,6.7356751e-05,0.654062566316122,0.213675213675214,0.225663716814159,1.05610619469027
2,1wk Post-op,2,0.0109655132097134,9.027547e-05,0.00012097724,1.34008983835808,0.196078431372549,0.216783216783217,1.10559440559441
2,1wk Post-op,3,0.0103447561265916,0.0001111172,4.949425e-05,0.445423840773525,0.236363636363636,0.117469879518072,0.496987951807229
2,3mo Post-op,1,0.00665317522244062,0.004163436191,0.001200614387,0.288371031023686,0.724683544303797,0.793877551020408,1.09548168612423
2,3mo Post-op,2,0.00680395561396176,0.000307081971,2.6611453e-05,0.0866591187797215,0.477848101265823,0.0658914728682171,0.137892088916269
2,3mo Post-op,3,0.00512678646801287,0.00012096621,0.000455965943,3.76936619738686,0.320872274143302,0.742248062015504,2.31321968841725
2,6mo Post-op,1,0.00495186906765399,0.009228301314,0.001389812717,0.15060330928852,0.925423728813559,0.869688385269122,0.939773163569198
2,6mo Post-op,2,0.0339803599753364,0.00044764371,0.00082484021,1.84262660587814,0.264705882352941,0.305210918114144,1.15301902398677
2,6mo Post-op,3,0.0226510881511797,0.00100455496,0.00152551312,1.51859597607283,0.46319018404908,0.63080684596577,1.36187438268107
2,Post-mortem,1,0.0052998839774668,0.000274957504,0.000108542899,0.394762453909969,0.386422976501305,0.186495176848875,0.482619275223777
2,Post-mortem,2,0.00562434045599494,2.3795188e-05,0.000227791876,9.57302274728823,0.0848806366047745,0.244005641748942,2.87469146685473
2,Post-mortem,3,0.00539513456131625,9.9900842e-05,4.4782679e-05,0.448271286842607,0.236074270557029,0.0773480662983425,0.327642932522193
3,Pre-op,1,0.0258333686636155,0.0006850890729,0.0006454324787,0.942114688777428,0.273607748184019,0.477987421383648,1.74698057549953
3,Pre-op,2,0.0290872846966299,0.0001196709198,0.0001058503793,0.884512122718723,0.0753424657534247,0.135922330097087,1.80406001765225
3,Pre-op,3,0.0221636993563715,0.000739518806,0.0012772331637,1.7271138385357,0.342431761786601,0.604810996563574,1.76622341750087
3,Post-mortem,1,0.00564564868291884,4.339063e-06,4.308628e-06,0.992985812835628,0.025531914893617,0.0244897959183673,0.959183673469388
3,Post-mortem,2,0.00615208383032701,0.000108874728,7.5950702e-05,0.697597168738736,0.32,0.29520295202952,0.922509225092251
3,Post-mortem,3,0.00601892548236892,4.060192e-05,2.9577672e-05,0.728479638401337,0.2,0.138790035587189,0.693950177935943
4,Pre-op,1,0.0300926113508979,0.0003233342398,0.0055299076801,17.1027593103674,0.222811671087533,0.391455972101133,1.75689168431104
4,Pre-op,2,0.0311935848908046,0.0001252897389,0.0056045747841,44.732911356558,0.0752688172043011,0.32620320855615,4.33384262796028
4,Pre-op,3,0.031190840769461,4.12172027e-05,0.0025588262109,62.0815107110605,0.0251256281407035,0.20924149956408,8.32781168265039
4,Sham,1,0.013072983747136,0.00246055433,0.00720065346,2.92643546708436,0.581325301204819,0.824,1.41745077720207
